State,County,Population
Alabama,,4802740
Alabama,Autauga,55267
Alabama,Baldwin,186717
Alabama,Barbour,27119
Alabama,Bibb,22766
Alabama,Blount,57677
Alabama,Bullock,10542
Alabama,Butler,20650
Alabama,Calhoun,117797
Alabama,Chambers,33939
Alabama,Cherokee,26057
Alabama,Chilton,43895
Alabama,Choctaw,13609
Alabama,Clarke,25695
Alabama,Clay,13862
Alabama,Cleburne,14835
Alabama,Coffee,50526
Alabama,Colbert,54512
Alabama,Conecuh,13105
Alabama,Coosa,10713
Alabama,Covington,38058
Alabama,Crenshaw,13911
Alabama,Cullman,80536
Alabama,Dale,50044
Alabama,Dallas,43332
Alabama,DeKalb,71375
Alabama,Elmore,80162
Alabama,Escambia,38095
Alabama,Etowah,104303
Alabama,Fayette,17182
Alabama,Franklin,31884
Alabama,Geneva,26781
Alabama,Greene,8921
Alabama,Hale,15421
Alabama,Henry,17412
Alabama,Houston,102369
Alabama,Jackson,53291
Alabama,Jefferson,658931
Alabama,Lamar,14311
Alabama,Lauderdale,92781
Alabama,Lawrence,34117
Alabama,Lee,143468
Alabama,Limestone,85369
Alabama,Lowndes,11147
Alabama,Macon,21182
Alabama,Madison,340111
Alabama,Marengo,20692
Alabama,Marion,30663
Alabama,Marshall,94166
Alabama,Mobile,412577
Alabama,Monroe,22760
Alabama,Montgomery,232032
Alabama,Morgan,119953
Alabama,Perry,10373
Alabama,Pickens,19349
Alabama,Pike,32915
Alabama,Randolph,22787
Alabama,Russell,54572
Alabama,St. Clair,84398
Alabama,Shelby,197936
Alabama,Sumter,13478
Alabama,Talladega,81664
Alabama,Tallapoosa,41623
Alabama,Tuscaloosa,197211
Alabama,Walker,66661
Alabama,Washington,17344
Alabama,Wilcox,11482
Alabama,Winston,24327
Alaska,,722718
Alaska,Aleutians East,3172
Alaska,Aleutians West,5504
Alaska,Anchorage,295570
Alaska,Bethel,17416
Alaska,Bristol Bay,1030
Alaska,Denali,1855
Alaska,Dillingham,4975
Alaska,Fairbanks North Star,99192
Alaska,Haines,2554
Alaska,Juneau,32164
Alaska,Kenai Peninsula,56293
Alaska,Ketchikan Gateway,13593
Alaska,Kodiak Island,13872
Alaska,Lake and Peninsula,1668
Alaska,Matanuska-Susitna,91946
Alaska,Nome,9856
Alaska,North Slope,9503
Alaska,Northwest Arctic,7733
Alaska,Prince of Wales-Outer Ketchikan,5737
Alaska,Sitka,8952
Alaska,Skagway-Hoonah-Angoon,3047
Alaska,Southeast Fairbanks,7132
Alaska,Valdez-Cordova,9770
Alaska,Wade Hampton,7662
Alaska,Wrangell-Petersburg,6220
Alaska,Yakutat,646
Alaska,Yukon-Koyukuk,5656
Arizona,,6482505
Arizona,Apache,72401
Arizona,Cochise,133289
Arizona,Coconino,134511
Arizona,Gila,53144
Arizona,Graham,37147
Arizona,Greenlee,8606
Arizona,La Paz,20419
Arizona,Maricopa,3880244
Arizona,Mohave,202351
Arizona,Navajo,107398
Arizona,Pima,989569
Arizona,Pinal,382992
Arizona,Santa Cruz,47676
Arizona,Yavapai,211888
Arizona,Yuma,200870
Arkansas,,2937979
Arkansas,Arkansas,18892
Arkansas,Ashley,21692
Arkansas,Baxter,41536
Arkansas,Benton,227556
Arkansas,Boone,37051
Arkansas,Bradley,11482
Arkansas,Calhoun,5144
Arkansas,Carroll,27512
Arkansas,Chicot,11721
Arkansas,Clark,22858
Arkansas,Clay,15880
Arkansas,Cleburne,25901
Arkansas,Cleveland,8672
Arkansas,Columbia,24401
Arkansas,Conway,21270
Arkansas,Craighead,98315
Arkansas,Crawford,61944
Arkansas,Crittenden,50525
Arkansas,Cross,17781
Arkansas,Dallas,8072
Arkansas,Desha,12763
Arkansas,Drew,18467
Arkansas,Faulkner,116342
Arkansas,Franklin,18047
Arkansas,Fulton,12296
Arkansas,Garland,97124
Arkansas,Grant,17988
Arkansas,Greene,42720
Arkansas,Hempstead,22541
Arkansas,Hot Spring,32881
Arkansas,Howard,13886
Arkansas,Independence,36861
Arkansas,Izard,13419
Arkansas,Jackson,17866
Arkansas,Jefferson,76246
Arkansas,Johnson,25742
Arkansas,Lafayette,7516
Arkansas,Lawrence,17178
Arkansas,Lee,10326
Arkansas,Lincoln,14006
Arkansas,Little River,12996
Arkansas,Logan,22290
Arkansas,Lonoke,69341
Arkansas,Madison,15776
Arkansas,Marion,16573
Arkansas,Miller,43759
Arkansas,Mississippi,45966
Arkansas,Monroe,8075
Arkansas,Montgomery,9433
Arkansas,Nevada,9017
Arkansas,Newton,8264
Arkansas,Ouachita,25880
Arkansas,Perry,10405
Arkansas,Phillips,21442
Arkansas,Pike,11259
Arkansas,Poinsett,24514
Arkansas,Polk,20610
Arkansas,Pope,62331
Arkansas,Prairie,8618
Arkansas,Pulaski,386299
Arkansas,Randolph,18017
Arkansas,St. Francis,27970
Arkansas,Saline,109526
Arkansas,Scott,11272
Arkansas,Searcy,8036
Arkansas,Sebastian,127127
Arkansas,Sevier,17293
Arkansas,Sharp,17380
Arkansas,Stone,12603
Arkansas,Union,41427
Arkansas,Van Buren,17083
Arkansas,Washington,207521
Arkansas,White,78167
Arkansas,Woodruff,7229
Arkansas,Yell,22060
California,,37691912
California,Alameda,1529875
California,Alpine,1102
California,Amador,37953
California,Butte,220266
California,Calaveras,45052
California,Colusa,21549
California,Contra Costa,1066096
California,Del Norte,28659
California,El Dorado,180938
California,Fresno,942904
California,Glenn,28128
California,Humboldt,134761
California,Imperial,177057
California,Inyo,18478
California,Kern,851710
California,Kings,153765
California,Lake,64323
California,Lassen,34200
California,Los Angeles,9889056
California,Madera,152925
California,Marin,255031
California,Mariposa,18191
California,Mendocino,87553
California,Merced,259898
California,Modoc,9517
California,Mono,14309
California,Monterey,421898
California,Napa,138088
California,Nevada,98612
California,Orange,3055745
California,Placer,357138
California,Plumas,19765
California,Riverside,2239620
California,Sacramento,1436105
California,San Benito,56072
California,San Bernardino,2065377
California,San Diego,3140069
California,San Francisco,812826
California,San Joaquin,696214
California,San Luis Obispo,271969
California,San Mateo,727209
California,Santa Barbara,426878
California,Santa Clara,1809378
California,Santa Cruz,264298
California,Shasta,177774
California,Sierra,3113
California,Siskiyou,44507
California,Solano,416471
California,Sonoma,488116
California,Stanislaus,518522
California,Sutter,94919
California,Tehama,63601
California,Trinity,13723
California,Tulare,449253
California,Tuolumne,54953
California,Ventura,831771
California,Yolo,202054
California,Yuba,72578
Colorado,,5116796
Colorado,Adams,451443
Colorado,Alamosa,15710
Colorado,Arapahoe,584948
Colorado,Archuleta,12013
Colorado,Baca,3795
Colorado,Bent,6250
Colorado,Boulder,299378
Colorado,Broomfield,57352
Colorado,Chaffee,17932
Colorado,Cheyenne,1876
Colorado,Clear Creek,9012
Colorado,Conejos,8291
Colorado,Costilla,3662
Colorado,Crowley,5736
Colorado,Custer,4205
Colorado,Delta,30451
Colorado,Denver,619968
Colorado,Dolores,2056
Colorado,Douglas,292167
Colorado,Eagle,51854
Colorado,Elbert,23174
Colorado,El Paso,636963
Colorado,Fremont,47347
Colorado,Garfield,56270
Colorado,Gilpin,5467
Colorado,Grand,14548
Colorado,Gunnison,15408
Colorado,Hinsdale,830
Colorado,Huerfano,6520
Colorado,Jackson,1370
Colorado,Jefferson,539884
Colorado,Kiowa,1433
Colorado,Kit Carson,8142
Colorado,Lake,7427
Colorado,La Plata,51917
Colorado,Larimer,305525
Colorado,Las Animas,15037
Colorado,Lincoln,5454
Colorado,Logan,22619
Colorado,Mesa,147083
Colorado,Mineral,708
Colorado,Moffat,13451
Colorado,Montezuma,25442
Colorado,Montrose,41011
Colorado,Morgan,28175
Colorado,Otero,18865
Colorado,Ouray,4356
Colorado,Park,16089
Colorado,Phillips,4399
Colorado,Pitkin,17102
Colorado,Prowers,12549
Colorado,Pueblo,160545
Colorado,Rio Blanco,6782
Colorado,Rio Grande,11956
Colorado,Routt,23239
Colorado,Saguache,6228
Colorado,San Juan,692
Colorado,San Miguel,7490
Colorado,Sedgwick,2364
Colorado,Summit,27972
Colorado,Teller,23356
Colorado,Washington,4770
Colorado,Weld,258638
Colorado,Yuma,10100
Connecticut,,3580709
