FIPS,State,County,Year,Deaths,% Smokers,% Obese,% Excessive Drinking,% Uninsured,% Unemployed,% Food Insecure,Average daily PM25,% pop in viol,% Limited Access,Population,Deaths
1001,Alabama,Autauga,2014,729,22,31,17,14,6.5,14,12.9,0,10,55514,721
1003,Alabama,Baldwin,2014,2325,21,27,18,17,6.8,13,13.1,4,5,190790,2228
1005,Alabama,Barbour,2014,422,25,37,14,19,11.2,23,12.6,32,11,27201,366
1007,Alabama,Bibb,2014,390,26,34,11,16,7.6,16,12.9,0,2,22597,378
1009,Alabama,Blount,2014,826,21,30,6,18,6.2,12,12.7,3,1,57826,781
1011,Alabama,Bullock,2014,192,38,42,,16,13.4,27,12.8,15,20,10474,201
1013,Alabama,Butler,2014,389,31,38,11,16,10.9,23,12.8,25,3,20307,381
1015,Alabama,Calhoun,2014,2042,24,33,12,17,7.6,18,12.9,0,10,117296,2033
1017,Alabama,Chambers,2014,643,24,35,,18,9.3,21,13,0,9,34064,660
1019,Alabama,Cherokee,2014,470,24,31,15,17,7.1,15,12.9,0,0,26021,475
1021,Alabama,Chilton,2014,741,20,38,9,20,6.5,15,12.9,0,2,43819,733
1023,Alabama,Choctaw,2014,253,20,39,,18,9,20,12.8,0,12,13633,250
1025,Alabama,Clarke,2014,403,14,36,9,18,12.1,24,13,10,11,25161,366
1027,Alabama,Clay,2014,254,26,35,,19,9.3,18,12.9,8,2,13435,232
1029,Alabama,Cleburne,2014,279,19,31,,17,6.9,13,13,1,1,14832,233
1031,Alabama,Coffee,2014,636,18,30,10,17,6.2,15,12.6,0,7,51252,635
1033,Alabama,Colbert,2014,941,30,32,7,15,7.6,16,12.7,3,5,54446,921
1035,Alabama,Conecuh,2014,271,23,36,,19,11.6,24,12.9,0,15,12981,216
1037,Alabama,Coosa,2014,221,30,34,,16,8.2,18,12.9,0,7,10966,227
1039,Alabama,Covington,2014,638,29,34,11,18,7.5,16,12.7,0,3,37955,644
1041,Alabama,Crenshaw,2014,238,17,36,,19,7.2,17,12.8,0,16,14083,227
1043,Alabama,Cullman,2014,1309,22,32,11,18,6.4,13,12.5,0,3,80440,1273
1045,Alabama,Dale,2014,721,21,35,14,16,7.3,17,12.5,0,10,50444,703
1047,Alabama,Dallas,2014,825,21,41,12,16,13.7,32,12.9,0,12,42864,895
1049,Alabama,DeKalb,2014,1085,18,32,10,23,8.5,15,12.9,1,2,71080,1052
1051,Alabama,Elmore,2014,1076,21,31,10,14,6.8,14,12.9,7,7,80629,1034
1053,Alabama,Escambia,2014,639,21,37,8,19,8.9,20,12.9,0,8,37994,594
1055,Alabama,Etowah,2014,1972,26,32,11,17,7.2,16,12.8,3,9,104392,1934
1057,Alabama,Fayette,2014,335,14,36,,16,8,17,12.5,0,1,16983,332
1059,Alabama,Franklin,2014,573,25,34,,21,8.2,16,12.3,0,4,31761,581
1061,Alabama,Geneva,2014,448,33,34,13,18,6.9,15,12.5,0,1,26931,424
1063,Alabama,Greene,2014,150,18,48,,18,11.4,30,12.9,31,21,8876,171
1065,Alabama,Hale,2014,306,,42,,19,9.9,24,12.9,24,0,15388,286
1067,Alabama,Henry,2014,283,17,35,,17,7.3,16,12.5,23,1,17287,294
1069,Alabama,Houston,2014,1365,18,35,13,16,7,17,12.4,0,7,103402,1276
1071,Alabama,Jackson,2014,1017,22,30,8,18,7.1,14,13.2,3,4,53019,997
1073,Alabama,Jefferson,2014,9946,21,32,15,15,6.8,19,12.7,0,11,660009,10043
1075,Alabama,Lamar,2014,291,26,31,,17,7.6,16,12.4,0,0,14259,270
1077,Alabama,Lauderdale,2014,1345,18,32,6,15,6.7,15,13.1,0,6,92542,1275
1079,Alabama,Lawrence,2014,610,28,38,,18,8.1,15,12.5,4,2,33838,567
1081,Alabama,Lee,2014,1336,18,32,18,17,6.3,17,12.9,16,11,147257,1295
1083,Alabama,Limestone,2014,972,22,34,9,16,6.2,13,13,0,4,87654,953
1085,Alabama,Lowndes,2014,237,23,44,16,17,14.1,29,12.9,0,26,10857,220
1087,Alabama,Macon,2014,403,14,39,,16,9.8,28,12.8,0,19,20535,427
1089,Alabama,Madison,2014,3763,18,30,11,15,6.2,15,13.1,0,8,343080,3639
1091,Alabama,Marengo,2014,365,17,42,13,18,9.4,23,13,23,15,20401,362
1093,Alabama,Marion,2014,572,27,33,,17,9.1,16,12.2,0,1,30327,561
1095,Alabama,Marshall,2014,1559,28,32,12,21,7,14,12.7,0,7,94776,1494
1097,Alabama,Mobile,2014,6242,24,34,15,19,8.4,20,13,4,11,413936,6287
1099,Alabama,Monroe,2014,385,21,36,,18,12.3,25,13,4,17,22602,355
1101,Alabama,Montgomery,2014,2920,19,35,15,16,7.7,22,12.8,0,11,230149,3073
1103,Alabama,Morgan,2014,1718,24,29,11,19,7,15,12.6,0,4,120395,1633
1105,Alabama,Perry,2014,200,26,39,18,20,12.9,29,13,20,6,10181,215
1107,Alabama,Pickens,2014,342,18,39,8,18,9,22,12.7,26,2,19405,342
1109,Alabama,Pike,2014,483,18,36,11,20,7,21,12.7,0,6,33182,450
1111,Alabama,Randolph,2014,409,28,34,14,19,8.9,19,13,24,2,22675,395
