FIPS,State,County,Year,# Deaths,% Smokers,% Obese,% Excessive Drinking,% Uninsured,% Unemployed,% Food Insecure,Average Daily PM2.5,% Pop in Viol,% Limited Access,Population,Death_previous
01001,Alabama,Autauga,2015,754,22,31,17,13,5.7,14,12.9,0,10,55246,729
01003,Alabama,Baldwin,2015,2460,21,25,18,16,5.8,14,13.1,1,5,195540,2325
01005,Alabama,Barbour,2015,414,25,38,14,18,10.0,23,12.6,53,11,27076,422
01007,Alabama,Bibb,2015,407,26,37,11,15,6.8,15,12.9,0,2,22512,390
01009,Alabama,Blount,2015,861,21,31,6,18,5.6,12,12.7,0,1,57872,826
01011,Alabama,Bullock,2015,180,38,43,,18,12.0,24,12.8,15,20,10639,192
01013,Alabama,Butler,2015,375,31,38,11,17,9.3,22,12.8,50,3,20265,389
01015,Alabama,Calhoun,2015,2081,24,32,12,15,7.3,17,12.9,0,10,116736,2042
01017,Alabama,Chambers,2015,686,24,40,,16,7.3,21,13.0,0,9,34162,643
01019,Alabama,Cherokee,2015,512,24,30,15,17,5.7,15,12.9,0,0,26203,470
01021,Alabama,Chilton,2015,767,20,37,9,19,5.8,14,12.9,0,2,43951,741
01023,Alabama,Choctaw,2015,253,20,40,,16,7.8,19,12.8,11,12,13426,253
01025,Alabama,Clarke,2015,425,14,35,9,17,10.8,22,13.0,7,11,25207,403
01027,Alabama,Clay,2015,259,26,37,,19,8.2,17,12.9,8,2,13486,254
01029,Alabama,Cleburne,2015,282,19,30,,16,6.2,14,13.0,3,1,14994,279
01031,Alabama,Coffee,2015,670,18,29,10,16,6.2,15,12.6,1,7,50938,636
01033,Alabama,Colbert,2015,949,30,34,7,14,6.8,16,12.7,0,5,54520,941
01035,Alabama,Conecuh,2015,290,23,39,,18,10.3,23,12.9,0,15,12887,271
01037,Alabama,Coosa,2015,239,30,37,,17,8.1,17,12.9,0,7,10898,221
01039,Alabama,Covington,2015,647,29,32,11,17,7.2,16,12.7,0,3,37886,638
01041,Alabama,Crenshaw,2015,214,17,37,,16,6.3,17,12.8,0,16,13986,238
01043,Alabama,Cullman,2015,1293,22,34,11,18,5.5,14,12.5,0,3,80811,1309
01045,Alabama,Dale,2015,724,21,34,14,15,7.1,17,12.5,0,10,49884,721
01047,Alabama,Dallas,2015,856,21,42,12,15,12.7,29,12.9,0,12,41996,825
01049,Alabama,DeKalb,2015,1091,18,32,10,22,7.0,14,12.9,1,2,71013,1085
01051,Alabama,Elmore,2015,1059,21,30,10,13,6.0,14,12.9,6,7,80902,1076
01053,Alabama,Escambia,2015,710,21,38,8,20,8.0,20,12.9,2,8,37983,639
01055,Alabama,Etowah,2015,1966,26,34,11,17,6.5,16,12.8,3,9,103931,1972
01057,Alabama,Fayette,2015,355,14,36,,15,7.3,16,12.5,0,1,16909,335
01059,Alabama,Franklin,2015,605,25,34,,20,7.7,15,12.3,0,4,31532,573
01061,Alabama,Geneva,2015,485,33,35,13,19,6.5,16,12.5,0,1,26727,448
01063,Alabama,Greene,2015,166,18,48,,16,10.1,28,12.9,31,21,8744,150
01065,Alabama,Hale,2015,284,,36,,16,9.9,23,12.9,0,0,15406,306
01067,Alabama,Henry,2015,321,17,34,,17,6.8,16,12.5,0,1,17296,283
01069,Alabama,Houston,2015,1382,18,33,13,16,6.2,17,12.4,0,7,103668,1365
01071,Alabama,Jackson,2015,1049,22,29,8,17,6.3,14,13.2,9,4,52951,1017
01073,Alabama,Jefferson,2015,9927,21,33,15,15,6.0,18,12.7,0,11,659479,9946
01075,Alabama,Lamar,2015,285,26,33,,17,6.9,16,12.4,0,0,14236,291
01077,Alabama,Lauderdale,2015,1433,18,31,6,16,6.1,15,13.1,0,6,92797,1345
01079,Alabama,Lawrence,2015,610,28,39,,18,7.3,15,12.5,0,2,33587,610
01081,Alabama,Lee,2015,1342,18,30,18,15,5.2,17,12.9,47,11,150933,1336
