FIPS,State,County,Year,# Deaths,% Smokers,% Obese,% Excessive Drinking,% Uninsured,% Unemployed,% Food Insecure,Average Daily PM2.5,Presence of violation,% Limited Access,Population,death
1001,Alabama,Autauga,2016,809,19,31,15,13,5.9,14,12.9,No,10,55395,754
1003,Alabama,Baldwin,2016,2506,19,27,15,17,6.1,14,13.1,Yes,5,200111,2460
1005,Alabama,Barbour,2016,410,21,41,12,17,10.8,22,12.6,Yes,11,26887,414
1007,Alabama,Bibb,2016,414,21,40,14,15,7.1,16,12.9,No,2,22506,407
1009,Alabama,Blount,2016,876,19,32,14,18,6.1,12,12.7,No,1,57719,861
1011,Alabama,Bullock,2016,167,22,45,11,19,9.1,24,12.8,No,20,10764,180
1013,Alabama,Butler,2016,378,23,36,11,16,8.6,22,12.8,Yes,3,20296,375
1015,Alabama,Calhoun,2016,2081,24,32,13,16,7.9,18,12.9,No,10,115916,2081
1017,Alabama,Chambers,2016,697,21,40,12,17,6.7,21,13,No,9,34076,686
1019,Alabama,Cherokee,2016,537,20,33,13,16,5.9,15,12.9,No,0,26037,512
1021,Alabama,Chilton,2016,789,21,37,14,19,6.3,14,12.9,No,2,43931,767
1023,Alabama,Choctaw,2016,256,19,39,11,16,9.1,19,12.8,Yes,12,13323,253
1025,Alabama,Clarke,2016,412,21,36,11,16,12.5,23,13,Yes,11,24945,425
1027,Alabama,Clay,2016,244,20,38,12,19,7.2,17,12.9,No,2,13552,259
1029,Alabama,Cleburne,2016,289,19,30,14,17,6.7,14,13,Yes,1,15080,282
1031,Alabama,Coffee,2016,659,19,30,13,17,6.7,16,12.6,Yes,7,50909,670
1033,Alabama,Colbert,2016,969,19,37,13,14,8.2,16,12.7,No,5,54543,949
1035,Alabama,Conecuh,2016,269,24,37,10,18,10.7,23,12.9,No,15,12670,290
1037,Alabama,Coosa,2016,222,22,39,12,17,8.8,18,12.9,No,7,10886,239
1039,Alabama,Covington,2016,656,20,32,13,17,7.8,16,12.7,No,3,37914,647
1041,Alabama,Crenshaw,2016,222,20,37,13,17,7,17,12.8,No,16,13977,214
1043,Alabama,Cullman,2016,1334,20,35,14,19,6.1,14,12.5,No,3,81289,1293
1045,Alabama,Dale,2016,735,20,36,14,15,7.2,17,12.5,No,10,49484,724
1047,Alabama,Dallas,2016,862,25,42,10,14,11.6,29,12.9,No,12,41711,856
1049,Alabama,DeKalb,2016,1135,19,31,13,23,6.9,13,12.9,No,2,71065,1091
1051,Alabama,Elmore,2016,1084,19,30,15,12,5.8,15,12.9,No,7,80977,1059
1053,Alabama,Escambia,2016,731,23,39,13,19,8.2,20,12.9,Yes,8,37733,710
1055,Alabama,Etowah,2016,2019,22,35,13,16,7,16,12.8,No,9,103531,1966
1057,Alabama,Fayette,2016,342,21,32,13,15,7.9,17,12.5,No,1,16874,355
1059,Alabama,Franklin,2016,605,20,34,13,20,7.8,15,12.3,No,4,31601,605
1061,Alabama,Geneva,2016,474,22,35,13,19,6.7,16,12.5,No,1,26712,485
1063,Alabama,Greene,2016,172,27,46,9,17,12.6,27,12.9,No,21,8553,166
1065,Alabama,Hale,2016,276,22,36,10,16,9.8,23,12.9,No,0,15184,284
1067,Alabama,Henry,2016,307,18,35,13,17,7.4,16,12.5,No,1,17190,321
1069,Alabama,Houston,2016,1468,19,34,14,16,6.8,17,12.4,No,7,104193,1382
1071,Alabama,Jackson,2016,1079,20,31,13,18,7.2,14,13.2,Yes,4,52665,1049
1073,Alabama,Jefferson,2016,10094,17,34,15,15,6.3,18,12.7,No,11,660793,9927
1075,Alabama,Lamar,2016,285,21,33,12,16,7.1,17,12.4,No,0,14086,285
1077,Alabama,Lauderdale,2016,1433,19,32,14,15,7.2,15,13.1,No,6,93096,1433
1079,Alabama,Lawrence,2016,614,20,36,14,18,8.2,15,12.5,No,2,33477,610
1081,Alabama,Lee,2016,1509,20,30,16,16,5.6,18,12.9,Yes,11,154255,1342
1083,Alabama,Limestone,2016,1120,19,34,15,16,6.1,14,13,Yes,4,90787,1104
1085,Alabama,Lowndes,2016,228,23,46,10,15,12.9,26,12.9,No,26,10580,242
1087,Alabama,Macon,2016,355,24,42,10,16,9.1,25,12.8,Yes,19,19425,354
1089,Alabama,Madison,2016,3954,20,31,14,14,6.2,15,13.1,No,8,350299,3916
1091,Alabama,Marengo,2016,362,22,41,11,15,8,21,13,No,15,20110,364
1093,Alabama,Marion,2016,613,20,35,13,16,8.1,16,12.2,Yes,1,30271,640
1095,Alabama,Marshall,2016,1654,20,35,14,22,6.7,14,12.7,No,7,94636,1610
1097,Alabama,Mobile,2016,6589,21,36,15,17,7.7,19,13,No,11,415123,6346
1099,Alabama,Monroe,2016,392,22,37,11,18,11.3,23,13,No,17,21947,400
1101,Alabama,Montgomery,2016,2977,20,34,13,15,6.9,21,12.8,No,11,226189,2874
1103,Alabama,Morgan,2016,1833,19,32,14,17,6.6,14,12.6,No,4,119607,1821
1105,Alabama,Perry,2016,209,25,38,10,15,12.4,26,13,No,6,9826,207
1107,Alabama,Pickens,2016,366,22,37,11,17,8.2,21,12.7,No,2,20365,346
1109,Alabama,Pike,2016,502,22,34,13,17,7.3,21,12.7,No,6,33389,485
1111,Alabama,Randolph,2016,394,20,33,13,19,6.9,18,13,Yes,2,22539,397
1113,Alabama,Russell,2016,883,21,35,13,17,6.6,20,12.8,No,8,59608,953
1115,Alabama,St. Clair,2016,1376,20,33,14,14,5.8,13,12.8,No,1,86697,1309
1117,Alabama,Shelby,2016,2028,16,31,17,12,4.5,11,12.8,Yes,4,206655,1954
1119,Alabama,Sumter,2016,228,24,40,10,17,8.9,28,12.9,Yes,11,13166,218
1121,Alabama,Talladega,2016,1586,22,38,12,15,7.7,19,12.9,No,6,81322,1475
1123,Alabama,Tallapoosa,2016,721,21,37,13,16,7.7,18,12.9,Yes,5,41165,708
1125,Alabama,Tuscaloosa,2016,2457,20,33,15,15,6,18,12.7,No,7,202212,2412
1127,Alabama,Walker,2016,1597,22,33,13,16,7.7,16,12.5,No,4,65471,1538
1129,Alabama,Washington,2016,310,20,36,14,16,9.9,17,12.9,Yes,3,16834,290
1131,Alabama,Wilcox,2016,271,25,44,10,17,17.4,30,12.9,Yes,28,11098,242
1133,Alabama,Winston,2016,504,22,29,13,17,8.8,17,12.4,No,1,24150,512
2013,Alaska,Aleutians East,2016,,20,31,18,40,4.6,18,,No,22,3360,
2016,Alaska,Aleutians West,2016,,18,36,19,28,4.9,16,,Yes,8,5750,
2020,Alaska,Anchorage,2016,2894,16,27,23,18,5.1,12,,Yes,5,301010,2755
2050,Alaska,Bethel,2016,206,34,32,21,28,16,21,,Yes,39,17868,210
2060,Alaska,Bristol Bay,2016,,21,34,23,23,8,12,,No,7,957,
2068,Alaska,Denali,2016,,18,25,23,22,10.1,14,,,19,1921,
2070,Alaska,Dillingham,2016,72,32,35,20,27,9.9,18,,Yes,17,4988,74
2090,Alaska,Fairbanks North Star,2016,822,16,29,23,19,5.7,13,,Yes,10,99357,799
2100,Alaska,Haines,2016,37,18,27,19,30,10.5,15,,No,5,2566,40
2110,Alaska,Juneau,2016,308,17,27,23,17,5.1,11,,No,6,32406,287
2122,Alaska,Kenai Peninsula,2016,659,20,28,24,23,7.8,13,,Yes,6,57477,673
2130,Alaska,Ketchikan Gateway,2016,151,20,29,22,23,7.6,14,,Yes,1,13787,170
2150,Alaska,Kodiak Island,2016,125,17,29,22,27,5.7,13,,Yes,4,13986,114
2164,Alaska,Lake and Peninsula,2016,,31,32,21,31,15.4,17,,Yes,46,1631,
2170,Alaska,Matanuska-Susitna,2016,991,21,29,22,21,8,12,,Yes,6,97882,955
2180,Alaska,Nome,2016,142,35,33,19,29,12.1,21,,Yes,36,9817,152
2185,Alaska,North Slope,2016,93,25,35,23,26,5.8,14,,No,4,9703,96
2188,Alaska,Northwest Arctic,2016,91,35,33,21,30,16.7,21,,Yes,32,7717,93
2201,Alaska,Prince of Wales-Outer Ketchikan,2016,71,25,35,20,31,13.3,18,,Yes,8,6396,86
2220,Alaska,Sitka,2016,85,18,27,21,25,5.1,13,,No,6,8900,93
2232,Alaska,Skagway-Hoonah-Angoon,2016,40,21,31,21,29,13.7,18,,Yes,22,3118,37
2240,Alaska,Southeast Fairbanks,2016,88,20,33,21,27,13,16,,Yes,9,6931,84
2261,Alaska,Valdez-Cordova,2016,94,19,30,22,23,9.5,13,,Yes,11,9488,103
2270,Alaska,Wade Hampton,2016,131,41,34,18,29,23.7,26,,Yes,44,8010,117
2280,Alaska,Wrangell-Petersburg,2016,82,19,30,21,24,9.4,15,,Yes,2,5524,70
2282,Alaska,Yakutat,2016,,21,32,22,35,9.7,16,,No,0,635,
2290,Alaska,Yukon-Koyukuk,2016,126,32,27,20,33,18.7,21,,Yes,50,5547,113
4001,Arizona,Apache,2016,1099,26,33,15,24,16,28,9.8,Yes,44,71828,1115
4003,Arizona,Cochise,2016,1696,16,25,15,18,8.4,16,9.5,Yes,12,127448,1691
4005,Arizona,Coconino,2016,1239,20,22,19,21,7.2,20,10.5,Yes,13,137682,1221
4007,Arizona,Gila,2016,999,18,27,13,20,8.4,18,9.7,Yes,12,53119,968
4009,Arizona,Graham,2016,408,18,32,17,18,7.6,16,9.4,Yes,14,37957,393
4011,Arizona,Greenlee,2016,89,17,33,18,12,6.5,14,9.6,Yes,26,9346,87
4012,Arizona,La Paz,2016,425,16,32,13,27,8,18,10.7,Yes,19,20231,401
4013,Arizona,Maricopa,2016,35440,15,22,17,20,5.9,16,9.9,Yes,4,4087191,34202
4015,Arizona,Mohave,2016,4333,20,28,15,22,8.8,19,11.5,Yes,17,203361,4174
4017,Arizona,Navajo,2016,1612,23,31,15,22,11.3,24,9.9,No,18,108101,1558
4019,Arizona,Pima,2016,11243,15,22,16,19,6.2,16,9.2,No,7,1004516,11078
4021,Arizona,Pinal,2016,4011,17,30,16,20,7.2,16,9.2,Yes,5,401918,3907
4023,Arizona,Santa Cruz,2016,368,15,21,15,24,13.2,15,9.3,Yes,11,46695,362
4025,Arizona,Yavapai,2016,3244,15,25,15,22,6.3,18,10.7,Yes,12,218844,3090
4027,Arizona,Yuma,2016,1876,15,30,16,24,23.3,22,9.9,Yes,11,203247,1854
5001,Arkansas,Arkansas,2016,322,22,34,14,18,5.4,20,12.3,Yes,8,18594,343
5003,Arkansas,Ashley,2016,388,24,40,13,17,9.4,22,12,Yes,11,20948,397
5005,Arkansas,Baxter,2016,796,20,29,13,19,6.8,17,11.4,Yes,5,40857,764
5007,Arkansas,Benton,2016,2223,19,28,16,18,4.6,14,10.6,Yes,6,242321,2185
5009,Arkansas,Boone,2016,543,22,29,15,18,6.1,18,11.1,No,11,37196,518
5011,Arkansas,Bradley,2016,209,25,37,12,24,8.5,22,11.9,Yes,5,11148,191
5013,Arkansas,Calhoun,2016,91,22,35,13,19,6.8,20,11.7,No,32,5202,88
5015,Arkansas,Carroll,2016,440,20,36,14,26,5.3,15,10.9,Yes,4,27744,426
5017,Arkansas,Chicot,2016,233,27,39,11,20,10.6,27,12.1,Yes,3,11180,219
5019,Arkansas,Clark,2016,355,23,32,15,18,7,23,11.5,No,4,22576,356
5021,Arkansas,Clay,2016,334,23,33,14,20,8.1,21,12.6,Yes,5,15118,324
5023,Arkansas,Cleburne,2016,473,20,31,14,20,8.3,17,12,Yes,5,25634,450
5025,Arkansas,Cleveland,2016,138,20,37,14,18,7,19,11.9,No,9,8449,145
5027,Arkansas,Columbia,2016,428,24,38,14,19,7.3,24,11.3,Yes,7,23933,410
5029,Arkansas,Conway,2016,374,22,39,14,19,7.1,20,11.7,Yes,9,21083,360
5031,Arkansas,Craighead,2016,1305,24,36,16,19,5.5,20,12.8,No,10,102518,1237
5033,Arkansas,Crawford,2016,959,22,36,15,21,6.1,18,11.2,Yes,10,61697,936
5035,Arkansas,Crittenden,2016,906,26,38,13,16,7.3,27,12.7,Yes,4,49548,895
5037,Arkansas,Cross,2016,372,23,38,14,17,6.6,21,12.6,No,8,17227,359
5039,Arkansas,Dallas,2016,150,22,36,13,18,9.5,24,11.7,Yes,10,7755,157
5041,Arkansas,Desha,2016,250,25,39,12,18,8.3,27,12.2,Yes,16,12264,251
5043,Arkansas,Drew,2016,250,25,31,13,18,8.6,25,12.1,Yes,7,18622,254
5045,Arkansas,Faulkner,2016,1248,22,29,17,16,5.7,18,11.9,Yes,9,120768,1195
5047,Arkansas,Franklin,2016,321,23,37,14,19,5.8,18,11.3,Yes,6,17805,332
5049,Arkansas,Fulton,2016,202,21,32,13,22,6,18,11.5,No,9,12125,206
5051,Arkansas,Garland,2016,1829,23,31,14,21,6.4,19,11.5,Yes,12,97322,1736
5053,Arkansas,Grant,2016,277,20,37,16,16,5.6,15,11.9,No,4,18144,291
5055,Arkansas,Greene,2016,716,23,34,16,18,6.5,19,12.7,No,8,43694,680
5057,Arkansas,Hempstead,2016,384,26,41,12,22,6.1,21,11.2,Yes,11,22327,369
5059,Arkansas,Hot Spring,2016,569,21,33,16,18,5.9,18,11.6,Yes,9,33368,524
5061,Arkansas,Howard,2016,229,25,37,13,24,5.9,20,11,Yes,7,13500,221
5063,Arkansas,Independence,2016,555,23,34,15,21,8,20,12.2,Yes,8,36959,550
5065,Arkansas,Izard,2016,254,22,33,14,21,7.6,19,11.8,Yes,3,13486,246
5067,Arkansas,Jackson,2016,355,25,40,14,19,9.4,23,12.4,No,9,17534,369
5069,Arkansas,Jefferson,2016,1287,26,39,13,15,8.9,26,12.2,No,7,72297,1230
5071,Arkansas,Johnson,2016,350,24,35,15,22,6.6,18,11.4,No,4,26005,361
5073,Arkansas,Lafayette,2016,174,25,34,12,23,8,24,11.1,No,9,7111,184
5075,Arkansas,Lawrence,2016,310,24,33,14,19,7.4,21,12.4,Yes,13,16931,317
5077,Arkansas,Lee,2016,199,28,35,12,19,7.9,29,12.4,No,16,9860,199
5079,Arkansas,Lincoln,2016,188,26,36,15,19,7.3,23,12.2,Yes,21,13970,182
5081,Arkansas,Little River,2016,208,21,33,14,19,6.6,18,10.8,Yes,4,12532,217
5083,Arkansas,Logan,2016,388,21,35,15,19,6.1,18,11.3,Yes,7,21958,355
5085,Arkansas,Lonoke,2016,1017,21,34,16,16,5.2,16,12.1,Yes,6,71557,947
5087,Arkansas,Madison,2016,247,23,33,14,25,4.9,17,11.2,No,12,15740,227
5089,Arkansas,Marion,2016,353,23,31,13,20,6.5,18,11.3,Yes,6,16367,336
5091,Arkansas,Miller,2016,712,23,34,15,17,6,21,10.9,Yes,10,43428,701
5093,Arkansas,Mississippi,2016,832,26,38,13,18,9.3,25,13.2,Yes,7,44235,873
5095,Arkansas,Monroe,2016,153,26,37,11,19,6.8,25,12.3,No,6,7582,150
5097,Arkansas,Montgomery,2016,151,21,33,13,24,8.1,18,11.3,Yes,10,9082,158
5099,Arkansas,Nevada,2016,171,27,34,12,18,6.1,22,11.3,No,11,8723,162
5101,Arkansas,Newton,2016,121,22,37,13,22,6,18,11.5,Yes,15,7904,131
5103,Arkansas,Ouachita,2016,511,23,38,12,16,8.1,24,11.5,Yes,15,24828,517
5105,Arkansas,Perry,2016,175,22,36,16,19,7.7,18,11.7,No,5,10245,147
5107,Arkansas,Phillips,2016,458,27,42,11,18,9.6,30,12.3,Yes,24,19930,449
5109,Arkansas,Pike,2016,200,23,37,14,26,7.5,19,11.2,Yes,9,11024,178
5111,Arkansas,Poinsett,2016,511,25,40,14,18,6.9,22,12.7,No,5,24246,549
5113,Arkansas,Polk,2016,368,23,32,13,24,6.4,18,11,Yes,19,20225,363
5115,Arkansas,Pope,2016,816,21,33,16,20,6.4,18,11.6,No,6,63201,781
5117,Arkansas,Prairie,2016,156,22,35,13,21,5.9,19,12.3,No,2,8304,158
5119,Arkansas,Pulaski,2016,5280,20,32,16,17,5.6,21,11.9,Yes,10,392702,5169
5121,Arkansas,Randolph,2016,297,22,35,15,21,8.1,19,12.1,Yes,14,17571,300
5123,Arkansas,St. Francis,2016,496,28,40,13,18,8.9,28,12.5,Yes,15,26899,470
5125,Arkansas,Saline,2016,1442,19,32,16,15,4.9,15,11.8,Yes,6,115719,1336
5127,Arkansas,Scott,2016,181,23,31,14,24,5.2,17,11.1,Yes,7,10693,188
5129,Arkansas,Searcy,2016,160,23,32,13,25,6.5,19,11.7,Yes,19,7929,137
5131,Arkansas,Sebastian,2016,1770,23,35,14,21,5.8,18,11.1,Yes,5,126776,1724
5133,Arkansas,Sevier,2016,237,23,40,13,30,7,16,10.9,No,20,17426,241
5135,Arkansas,Sharp,2016,341,23,33,13,23,8.7,20,11.9,Yes,9,16906,351
5137,Arkansas,Stone,2016,252,24,35,13,24,8,21,11.9,No,12,12494,249
5139,Arkansas,Union,2016,714,23,36,13,18,7.6,22,11.6,Yes,11,40227,684
5141,Arkansas,Van Buren,2016,287,23,35,13,21,8.2,19,11.8,Yes,6,16851,278
5143,Arkansas,Washington,2016,2040,23,29,17,21,4.4,17,11.1,No,7,220792,1978
5145,Arkansas,White,2016,1167,23,35,16,18,7.2,19,12.1,Yes,6,78592,1131
5147,Arkansas,Woodruff,2016,151,25,36,12,19,7.8,24,12.3,Yes,2,6910,165
5149,Arkansas,Yell,2016,348,23,35,14,25,5.6,16,11.4,Yes,3,21951,332
6001,California,Alameda,2016,12315,11,20,16,14,5.9,15,8.5,No,2,1610921,11903
6003,California,Alpine,2016,,16,24,18,18,8.8,17,10.3,No,13,1116,
6005,California,Amador,2016,516,13,27,19,16,8.3,15,9.4,Yes,3,36742,529
6007,California,Butte,2016,2750,15,25,20,17,8.7,18,8.9,Yes,7,224241,2782
6009,California,Calaveras,2016,651,12,25,18,16,8.1,15,9.5,Yes,2,44624,626
6011,California,Colusa,2016,201,14,24,18,24,17.5,15,7.6,No,3,21419,195
6013,California,Contra Costa,2016,8697,11,23,17,14,6.2,13,8.3,No,3,1111339,8548
6015,California,Del Norte,2016,418,16,27,19,17,10.2,19,8,No,10,27212,426
6017,California,El Dorado,2016,1798,12,19,21,13,7,14,9.5,No,5,183087,1754
6019,California,Fresno,2016,8749,13,29,17,20,11.6,17,9.6,Yes,5,965974,8503
