FIPS,State,County,# Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Quartile,Sample Size,% Fair/Poor,95% CI - Low,95% CI - High,Quartile,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Unreliable,# Low Birthweight Births,# Live births,% LBW,95% CI - Low,95% CI - High,Quartile,Sample Size,% Smokers,95% CI - Low,95% CI - High,Quartile,% Obese,95% CI - Low,95% CI - High,Quartile,Food Environment Index,Quartile,% Physically Inactive,95% CI - Low,95% CI - High,Quartile,# With Access,% With Access,Quartile,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Quartile,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,Quartile,# Chlamydia Cases,Chlamydia Rate,Quartile,Teen Births ,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Quartile,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Quartile,# Primary Care Physicians,PCP Rate,PCP Ratio,Quartile,# Dentists,Dentist Rate,Dentist Ratio,Quartile,# Mental Health Providers,MHP Rate,MHP Ratio,Quartile,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Quartile,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Quartile,# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Quartile,Cohort Size,Graduation Rate,Quartile,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Quartile,# Unemployed,Labor Force,% Unemployed,Quartile,# Children in Poverty,% Children in Poverty,95% CI - Low,95% CI - High,Quartile,80th Percentile Income,20th Percentile Income,Income Ratio,Quartile,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Quartile,# Associations,Association Rate,Quartile,# Violent Crimes,Violent Crime Rate,Quartile,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Quartile,Average Daily PM2.5,Quartile,Pop. In Viol,% Pop in Viol,Quartile,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Quartile,# Drive Alone,# Workers,% Drive Alone,95% CI - Low,95% CI - High,Quartile,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Quartile
01001,Alabama,Autauga,754,8405,7554,9257,1,407,23,18,29,3,396,5.1,4.1,6.1,3,403,3.6,2.7,4.6,1,,425,4678,9.1,8.3,9.9,2,409,22,17,28,2,31,26,36,1,7.2,2,28,23,33,1,40210,74,1,394,17,12,23,4,16,48,33,3,282,508,2,531,14548,36,33,40,1,6138,13,11,14,1,18,32,3084:1,3,16,29,3453:1,2,8,14,6906:1,4,4688,80,71,88,3,689,85,78,91,2,391,68.8,60.6,77.0,1,768,81,2,8145,14535,56.0,51.3,60.8,1,1449,25477,5.7,1,2724,20,15,24,1,100692,24138,4.2,1,4229,14273,30,25,35,1,73,13.1,2,139,254,2,200,73,63,84,2,12.9,3,0,0,1,2450,12,10,14,1,21372,24144,89,87,91,4,21372,42,38,46,3
01003,Alabama,Baldwin,2460,7457,7006,7908,1,1664,13,11,15,1,1622,3.3,2.7,3.9,1,1628,3.8,3.1,4.5,1,,1332,15363,8.7,8.2,9.1,1,1657,21,18,24,2,25,22,28,1,7.6,1,25,23,28,1,134180,74,1,1600,18,15,21,4,43,142,30,3,682,358,1,1750,39297,45,42,47,1,24378,16,14,17,2,144,75,1325:1,1,91,47,2149:1,1,157,80,1245:1,1,22883,51,48,54,1,2471,81,78,85,4,1888,66.1,62.4,69.8,1,2321,74,3,28277,45251,62.5,59.2,65.8,1,4895,83825,5.8,1,8994,21,16,25,1,97831,22148,4.4,1,12415,42455,29,26,33,1,222,11.6,2,407,221,1,682,75,69,80,2,13.1,4,2135,1,3,9970,14,13,15,2,67474,80619,84,82,85,2,67474,35,33,37,3
01005,Alabama,Barbour,414,8901,7580,10221,1,423,23,19,29,3,414,4.8,3.5,6.1,3,416,4.3,2.8,5.8,2,,284,2391,11.9,10.6,13.2,3,425,25,18,33,3,38,33,44,4,5.0,4,32,27,37,3,12121,44,3,414,14,8,22,4,10,23,43,4,195,717,3,425,5832,73,66,80,4,3468,18,16,19,3,12,44,2267:1,2,10,37,2708:1,2,1,4,27076:1,4,3088,87,77,97,3,504,86,78,94,2,301,61.8,52.9,70.7,2,334,70,4,3156,7456,42.3,37.3,47.3,4,871,8674,10.0,4,2393,42,34,51,4,67861,12397,5.5,4,3273,5863,56,49,63,4,23,8.5,4,39,147,1,77,56,44,70,1,12.6,1,19076,53,4,1780,19,16,21,4,7532,9163,82,81,83,1,7532,33,28,38,2
01007,Alabama,Bibb,407,10729,9124,12334,3,379,18,14,23,1,367,4.7,3.5,6.0,3,370,5.1,3.9,6.4,3,,228,1783,12.8,11.2,14.3,4,379,26,19,34,3,37,32,44,3,7.6,1,33,28,39,3,9037,39,3,366,11,7,17,2,9,29,31,3,84,372,1,254,4995,51,45,57,2,2627,15,13,17,1,6,27,3766:1,4,4,18,5628:1,3,,,,2,2022,71,59,83,2,327,83,73,93,3,162,61.7,49.6,73.8,2,268,80,2,3053,6106,50.0,40.8,59.2,2,611,8920,6.8,2,1664,36,29,42,3,73507,16285,4.5,1,1867,5022,37,26,48,2,24,10.6,3,54,236,2,92,81,65,99,3,12.9,3,0,0,1,690,10,6,13,1,6528,7845,83,81,86,2,6528,48,40,55,4
01009,Alabama,Blount,861,8669,7802,9536,1,367,24,18,32,3,360,5.9,4.0,7.7,4,358,3.9,2.6,5.2,2,,381,4954,7.7,6.9,8.4,1,368,21,16,28,2,31,26,37,1,8.5,1,30,24,36,1,14622,26,4,362,6,3,10,1,11,61,18,1,93,161,1,610,12913,47,44,51,2,8846,18,17,20,4,17,29,3402:1,4,11,19,5261:1,3,3,5,19291:1,4,4991,85,76,93,3,735,86,79,93,2,384,59.9,52.2,67.6,3,738,85,1,7113,14459,49.2,44.6,53.8,2,1469,26199,5.6,1,3637,27,22,31,1,81149,20370,4.0,1,3861,13974,28,23,33,1,50,8.6,4,127,219,1,264,92,81,103,4,12.7,1,0,0,1,2480,12,10,14,1,18816,22580,83,81,86,2,18816,58,54,63,4
01011,Alabama,Bullock,180,10744,8357,13130,3,104,23,16,33,3,101,4.2,2.1,6.4,2,,,,,3,,161,1181,13.6,11.7,15.6,4,103,38,21,58,4,43,35,51,4,3.8,4,33,26,40,3,2558,23,4,,,,,2,10,24,42,4,101,964,4,212,2506,85,73,96,4,1302,18,15,20,3,4,38,2619:1,3,2,19,5320:1,3,3,28,3546:1,3,1127,68,54,82,2,201,77,65,89,4,89,51.7,36.7,66.6,4,170,73,4,1147,3211,35.7,26.0,45.5,4,418,3486,12.0,4,974,44,33,56,4,69634,13230,5.3,3,1441,2309,62,45,79,4,12,11.5,3,31,283,2,46,85,63,114,3,12.8,2,2168,15,4,505,13,9,18,2,3312,4013,83,77,89,2,3312,47,34,59,4
01013,Alabama,Butler,375,10357,8802,11913,2,372,20,16,24,1,358,3.9,2.7,5.1,1,358,3.5,2.2,4.8,1,,207,1916,10.8,9.4,12.2,3,373,31,23,40,4,38,33,44,4,6.0,3,37,32,43,4,10488,50,2,356,11,7,18,2,5,23,22,1,150,739,3,287,4531,63,56,71,4,2771,17,15,19,3,7,34,2901:1,3,5,25,4053:1,3,5,25,4053:1,3,2789,117,105,129,4,452,86,78,95,2,224,60.3,50.1,70.4,3,307,66,4,2141,4826,44.4,38.1,50.6,3,825,8857,9.3,4,1864,40,32,48,4,62639,12281,5.1,3,2499,4880,51,44,58,4,24,11.8,2,101,483,4,86,83,66,102,3,12.8,2,13395,50,4,1440,18,15,21,4,6641,7529,88,86,90,4,6641,33,28,38,2
01015,Alabama,Calhoun,2081,10539,9883,11194,3,1458,23,20,26,2,1418,5.2,4.5,5.9,4,1426,5.1,4.4,5.8,3,,882,10151,8.7,8.1,9.2,1,1456,24,21,28,3,32,28,35,1,6.4,3,33,30,37,3,67311,57,2,1404,12,9,15,2,16,71,23,1,803,685,3,1414,28665,49,47,52,2,14866,15,14,17,1,75,64,1564:1,1,61,52,1914:1,1,107,92,1091:1,1,16302,85,80,89,3,2273,81,77,84,4,1363,57.0,53.0,61.0,3,1418,82,2,14999,29228,51.3,48.0,54.7,2,3655,50300,7.3,3,7301,29,23,34,2,78898,15277,5.2,3,10450,26390,40,36,44,3,173,14.7,1,599,505,4,459,78,71,85,2,12.9,3,0,0,1,6665,15,13,16,3,38317,44746,86,84,88,3,38317,28,26,30,1
01017,Alabama,Chambers,686,11864,10525,13203,4,385,39,29,49,4,359,5.0,3.7,6.3,3,371,4.3,3.1,5.5,2,,331,2786,11.9,10.7,13.1,3,385,24,18,31,3,40,34,46,4,5.7,4,35,30,41,4,21495,63,2,,,,,2,14,47,30,3,297,872,4,470,7869,60,54,65,4,4477,16,14,18,2,14,41,2433:1,2,8,23,4270:1,3,,,,2,5186,67,60,74,2,866,86,80,92,2,472,62.3,55.2,69.4,2,352,76,3,3888,8158,47.7,42.3,53.0,3,1074,14791,7.3,3,2497,35,27,42,3,67982,12876,5.3,3,4078,7447,55,48,62,4,63,18.5,1,161,553,4,134,78,65,92,2,13.0,4,0,0,1,2325,17,15,20,3,10901,12596,87,84,89,4,10901,34,30,39,3
01019,Alabama,Cherokee,512,10513,8979,12048,3,208,24,18,32,3,199,6.1,4.0,8.1,4,201,5.2,3.3,7.1,4,,147,1643,8.9,7.6,10.3,1,208,24,17,33,3,30,24,37,1,7.9,1,30,24,36,1,8545,33,3,199,15,9,24,4,11,42,26,2,50,192,1,263,5101,52,45,58,2,3477,17,15,18,3,7,27,3717:1,4,4,15,6551:1,4,6,23,4367:1,3,3104,87,76,98,3,531,92,84,100,1,295,61.0,52.1,69.9,2,305,74,3,3074,5748,53.5,45.9,61.1,2,658,11502,5.7,1,1697,32,23,40,3,75559,14830,5.1,3,1652,5249,31,22,41,1,24,9.2,4,98,374,3,107,83,67,98,3,12.9,3,0,0,1,1330,12,9,14,1,8167,9860,83,80,86,2,8167,43,37,49,4
01021,Alabama,Chilton,767,10911,9815,12008,3,347,21,16,25,2,339,4.6,3.5,5.8,2,344,4.9,3.7,6.2,3,,397,4043,9.8,8.9,10.7,2,346,20,15,26,2,37,31,43,3,7.9,1,32,27,38,2,14219,33,4,337,9,6,15,1,21,72,29,3,155,354,1,573,9826,58,54,63,4,7124,19,17,21,4,8,18,5477:1,4,9,20,4883:1,3,15,34,2930:1,2,3270,63,54,71,1,438,89,80,98,1,291,66.7,57.3,76.0,1,568,76,3,4561,11724,38.9,34.1,43.7,4,1150,19700,5.8,1,3526,34,27,41,3,83324,18360,4.5,1,3371,10705,31,26,37,2,66,15.1,1,179,407,3,183,84,72,96,3,12.9,3,0,0,1,2750,17,14,20,3,14315,17574,81,79,84,1,14315,47,42,52,4
