FIPS,State,County,# Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Quartile,% Fair/Poor,95% CI - Low,95% CI - High,Quartile,Physically Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Unreliable,# Low Birthweight Births,# Live Births,% LBW,95% CI - Low,95% CI - High,Quartile,% Smokers,95% CI - Low,95% CI - High,Quartile,% Obese,95% CI - Low,95% CI - High,Quartile,Food Environment Index,Quartile,% Physically Inactive,95% CI - Low,95% CI - High,Quartile,% With Access,Quartile,% Excessive Drinking,95% CI - Low,95% CI - High,Quartile,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Quartile,# Chlamydia Cases,Chlamydia Rate,Quartile,Teen Births,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Quartile,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Quartile,# Primary Care Physicians,PCP Rate,PCP Ratio,Quartile,# Dentists,Dentist Rate,Dentist Ratio,Quartile,# Mental Health Providers,MHP Rate,MHP Ratio,Quartile,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Quartile,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Quartile,# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Quartile,Cohort Size,Graduation Rate,Quartile,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Quartile,# Unemployed,Labor Force,% Unemployed,Quartile,# Children in Poverty,% Children in Poverty,95% CI - Low,95% CI - High,Quartile,80th Percentile Income,20th Percentile Income,Income Ratio,Quartile,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Quartile,# Associations,Association Rate,Quartile,# Violent Crimes,Violent Crime Rate,Quartile,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Quartile,Average Daily PM2.5,Quartile,Presence of violation,Quartile,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Quartile,# Drive Alone,# Workers,% Drive Alone,95% CI - Low,95% CI - High,Quartile,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Quartile,
01001,Alabama,Autauga,809,9215,8308,10122,2,19,19,20,1,4.4,4.2,4.6,1,4.3,4.2,4.5,1,,407,4632,9,8,10,1,19,18,19,1,31,26,36,1,7.1,2,29,24,34,1,71,1,15,15,16,4,14,44,32,24,40,3,231,416,2,509,14467,35,32,38,1,6351,13,12,15,1,22,40,2511:1,2,18,32,3078:1,2,8,14,6924:1,4,4921,62,55,70,2,718,84,77,91,3,426,62.0,55.0,70.0,2,769,83,2,8234,14581,56.5,51.6,61.4,1,1496,25429,5.9,1,2505,18,13,23,1,101248,23527,4.3,1,3845,14081,27,22,33,1,76,13.8,2,139,254,2,210,76,66,87,2,12.9,3,No,1,2715,14,11,16,2,21674,24290,89,87,91,4,21674,42,38,45,3,
01003,Alabama,Baldwin,2506,7455,7002,7907,1,16,16,17,1,4.1,3.9,4.2,1,4.2,4.1,4.4,1,,1300,15281,9,8,9,1,19,18,19,1,27,24,30,1,7.6,1,25,22,28,1,72,1,15,15,16,4,56,142,39,35,43,4,588,308,1,1655,39764,42,40,44,1,27538,17,16,19,4,147,75,1330:1,1,96,48,2084:1,1,175,87,1143:1,1,23601,49,46,52,1,2557,84,80,88,3,1995,66.0,62.0,70.0,1,2083,80,3,28778,46166,62.3,58.7,65.9,1,5195,85815,6.1,1,8637,20,15,25,1,98117,21829,4.5,1,12118,42933,28,25,32,1,235,12.0,2,407,221,1,656,70,65,76,1,13.1,4,Yes,3,10700,15,13,16,3,69051,82134,84,83,86,2,69051,37,35,39,3,
01005,Alabama,Barbour,410,8500,7257,9743,1,26,25,26,3,4.9,4.7,5.0,2,4.7,4.5,4.8,2,,272,2239,12,11,14,4,21,21,22,3,41,35,47,4,5.1,4,33,28,38,3,45,3,12,12,13,2,9,23,39,28,50,4,172,632,3,381,5611,68,61,75,4,3402,17,15,19,4,10,37,2708:1,3,10,37,2689:1,2,2,7,13444:1,4,3195,61,52,69,1,522,90,82,98,1,313,63.0,54.0,71.0,2,264,81,3,3150,7265,43.4,38.0,48.7,4,951,8798,10.8,4,2137,38,28,48,4,71630,13552,5.3,3,3180,5837,54,48,60,4,22,8.1,4,39,147,1,87,64,51,79,1,12.6,1,Yes,3,1655,18,15,20,4,7607,9108,84,81,86,2,7607,35,30,41,2,
01007,Alabama,Bibb,414,11008,9346,12669,3,22,21,23,2,4.8,4.6,5.0,2,4.6,4.4,4.8,1,,221,1780,12,11,14,4,21,20,22,3,40,34,46,4,7.4,2,33,28,39,3,33,3,14,13,14,4,11,32,34,25,44,3,83,367,2,235,4856,48,42,55,2,2576,15,13,17,1,8,36,2814:1,3,4,18,5627:1,3,,,,2,1927,74,61,86,3,334,84,74,94,3,174,59.0,48.0,71.0,3,270,81,3,3012,6156,48.9,40.6,57.3,3,611,8560,7.1,2,1237,27,19,35,2,76516,17998,4.3,1,1559,4865,32,22,42,2,22,9.8,3,54,236,2,85,75,60,92,2,12.9,3,No,1,960,13,9,17,2,6532,7773,84,80,88,2,6532,46,38,53,4,
01009,Alabama,Blount,876,8656,7800,9512,1,21,20,21,1,4.6,4.4,4.8,1,4.5,4.3,4.7,1,,364,4871,7,7,8,1,19,19,20,1,32,27,38,1,8.3,1,29,23,34,1,26,4,14,14,15,4,10,52,19,12,27,1,92,159,1,580,12790,45,42,49,2,8470,18,16,19,4,15,26,3858:1,4,11,19,5247:1,3,3,5,19240:1,4,4615,63,55,70,2,696,86,79,93,2,386,61.0,54.0,69.0,2,690,85,2,7025,14293,49.1,44.4,53.9,2,1513,24614,6.1,1,3241,24,19,29,1,82294,19954,4.1,1,3917,13860,28,22,34,1,49,8.5,4,127,219,1,255,89,78,99,3,12.7,1,No,1,2595,12,10,14,1,18859,22168,85,83,87,3,18859,59,54,64,4,
01011,Alabama,Bullock,167,10262,7959,12565,2,29,29,30,4,5.3,5.2,5.5,4,4.8,4.7,5.0,2,,151,1102,14,12,16,4,22,22,23,4,45,36,53,4,3.9,4,33,26,41,3,23,4,11,11,12,1,11,25,44,34,53,4,104,993,4,199,2384,83,72,95,4,1386,19,16,21,4,4,38,2660:1,3,2,19,5382:1,3,3,28,3588:1,3,1119,70,56,85,2,188,88,75,100,1,97,60.0,44.0,75.0,3,123,83,3,980,2840,34.5,24.1,44.9,4,425,4679,9.1,4,980,43,32,55,4,68609,11896,5.8,4,1656,2283,73,59,86,4,11,10.3,3,31,283,2,48,90,66,119,3,12.8,2,No,1,575,15,9,21,3,2961,3810,78,71,85,1,2961,47,34,60,4,
01013,Alabama,Butler,378,11155,9466,12844,3,27,27,28,4,5.3,5.2,5.5,4,5.1,4.9,5.2,4,,206,1872,11,10,12,3,23,22,24,4,36,31,42,3,6.0,3,34,29,40,4,46,3,11,10,11,1,9,29,31,21,41,3,157,773,4,249,4398,57,50,64,4,2578,16,14,17,2,8,39,2533:1,2,5,25,4059:1,3,6,30,3383:1,3,2828,106,95,117,4,486,81,73,89,4,234,62.0,52.0,73.0,2,259,68,4,2098,4801,43.7,37.9,49.5,3,793,9253,8.6,3,1735,37,29,45,4,66766,13256,5.0,2,2509,4793,52,46,59,4,23,11.3,2,101,483,4,82,80,63,99,3,12.8,2,Yes,3,1515,19,16,22,4,6621,7661,86,83,90,4,6621,35,30,40,2,
01015,Alabama,Calhoun,2081,10352,9706,10998,3,22,22,23,2,4.9,4.8,5.1,2,4.9,4.8,5.1,3,,886,9985,9,8,9,1,24,23,24,4,32,29,36,1,6.2,3,34,30,37,4,59,2,13,12,13,2,15,60,25,18,32,1,798,680,3,1338,28325,47,45,50,2,15348,16,14,18,2,74,63,1578:1,1,62,53,1870:1,1,111,96,1044:1,1,16577,77,73,82,3,2396,81,77,85,4,1431,56.0,53.0,60.0,4,1265,83,2,15652,29129,53.7,50.1,57.4,2,3716,46924,7.9,3,7080,28,22,34,2,79882,15646,5.1,3,10461,26124,40,36,44,2,166,14.2,1,599,505,4,428,73,66,80,2,12.9,3,No,1,6650,15,13,16,2,38750,45348,85,84,87,3,38750,29,26,31,1,
01017,Alabama,Chambers,697,11923,10592,13255,4,26,25,26,4,5.1,5.0,5.3,3,4.9,4.8,5.1,3,,343,2828,12,11,13,3,21,20,22,3,40,34,46,4,5.7,4,35,29,41,4,61,2,12,12,13,2,14,42,33,25,41,3,307,901,4,473,7792,61,55,66,4,4678,17,15,19,3,13,38,2628:1,3,9,26,3786:1,3,,,,2,4968,62,55,69,2,855,84,77,90,3,455,60.0,53.0,68.0,3,397,76,4,3851,8074,47.7,42.2,53.2,3,1025,15190,6.7,2,2255,32,24,40,3,69447,13664,5.1,3,3943,7327,54,47,60,4,62,18.1,1,161,553,4,132,77,64,91,2,13.0,4,No,1,2380,17,15,20,4,11237,13086,86,84,88,3,11237,36,31,40,2,
01019,Alabama,Cherokee,537,12007,10307,13707,4,20,19,21,1,4.6,4.4,4.8,1,4.7,4.5,4.9,2,,147,1639,9,8,10,2,20,19,21,2,33,27,40,2,7.8,1,31,24,38,2,33,3,13,13,14,3,9,45,20,13,28,1,58,223,1,254,5100,50,44,56,3,3415,16,14,18,2,6,23,4367:1,4,4,15,6509:1,4,6,23,4340:1,3,3163,81,71,92,3,569,89,81,97,1,284,64.0,55.0,73.0,2,297,82,3,3092,5681,54.4,47.2,61.6,2,661,11299,5.9,1,1462,28,20,36,2,76023,14839,5.1,3,1634,5193,31,23,40,1,25,9.5,4,98,374,3,118,91,74,107,3,12.9,3,No,1,1525,13,10,16,2,8718,10177,86,84,87,3,8718,44,39,49,4,
