fips,rurality
01001,42
01003,42.3
01005,67.8
01007,68.4
01009,90
01011,51.4
01013,71.2
01015,33.7
01017,49.1
01019,85.7
01021,86.7
01023,100
01025,76
01027,100
01029,100
01031,47.2
01033,43.9
01035,80.9
01037,100
01039,69.7
01041,100
01043,73.2
01045,50.9
01047,45.6
01049,90.1
01051,54.2
01053,63.5
01055,37.5
01057,80.2
01059,70.4
01061,89.6
01063,100
01065,89.2
01067,87.8
01069,33.8
01071,77
01073,9.8
01075,100
01077,49.3
01079,91.3
01081,27.4
01083,57.6
01085,100
01087,55.5
01089,16.4
01091,69.3
01093,88.9
01095,53.3
01097,20
01099,79
01101,10.5
01103,38.6
01105,100
01107,100
01109,51.7
01111,81.3
01113,35.4
01115,72.8
01117,22.9
01119,100
01121,55.8
01123,74.2
01125,25.5
01127,74.1
01129,100
01131,100
01133,84.9
02013,100
02016,100
02020,4.1
02050,73.9
02060,100
02068,100
02070,100
02090,30.9
02100,100
02105,100
02110,21.5
02122,79.3
02130,23.2
02150,31.3
02158,100
02164,100
02170,50.3
02180,66.1
02185,59.3
02188,57.5
02195,100
02198,100
02220,20.9
02230,100
02240,100
02261,100
02275,100
02282,100
02290,100
04001,74.1
04003,36.3
04005,31.5
04007,41.1
04009,46.4
04011,46.6
04012,56.3
04013,2.4
04015,23
04017,54.1
04019,7.5
04021,21.9
04023,26.9
04025,33.2
04027,10.4
05001,34.7
05003,51.7
05005,65.8
05007,25.2
05009,62.2
05011,49.6
05013,100
05015,72.8
05017,54.3
05019,54.4
05021,58.9
05023,75.5
05025,100
05027,57.5
05029,70.5
05031,32.2
05033,52
05035,20.9
05037,56.8
05039,52.6
05041,31.4
05043,48.6
05045,38.8
05047,82.6
05049,92.9
05051,36.9
05053,75
05055,41.5
05057,55.8
05059,66
05061,67.5
05063,68.6
05065,100
05067,65.1
05069,30.9
05071,71.4
05073,100
05075,63.6
05077,63.5
05079,100
05081,68.5
05083,71
05085,44.8
05087,100
05089,100
05091,40
05093,36.3
05095,69
05097,100
05099,69.2
05101,100
05103,56.3
05105,100
05107,48
05109,100
05111,71.1
05113,73.4
05115,54.5
05117,100
05119,12.3
05121,67.4
05123,51.6
05125,36.2
05127,70.4
05129,100
05131,20.8
05133,63.6
05135,80.1
05137,100
05139,54.5
05141,100
05143,25.5
05145,54.3
05147,100
05149,79.1
06001,0.4
06003,100
06005,60.4
06007,18.9
06009,75.4
06011,31.7
06013,0.8
06015,33.7
06017,34.7
06019,10.8
06021,40.9
06023,29.8
06025,17.4
06027,46.4
06029,10.2
06031,10.9
06033,33.1
06035,70.5
06037,0.6
06039,32.9
06041,6.5
06043,100
06045,45.2
06047,14.3
06049,70
06051,45.8
06053,9.8
06055,13.4
06057,42.1
06059,0.1
06061,13.8
06063,74
06065,4.6
06067,2.1
06069,24
06071,4.7
06073,3.3
06075,0
06077,8.5
06079,16.6
06081,1.9
06083,5
06085,1.1
06087,12
06089,29.3
06091,99.7
06093,65.8
06095,3.7
06097,12.4
06099,8
06101,14.8
06103,51.5
06105,100
06107,15.5
06109,49
06111,3.1
06113,6.9
06115,26.2
08001,3.6
08003,36.9
08005,1.6
08007,59.4
08009,100
08011,38
08013,8.9
08014,0.6
08015,37.4
08017,100
08019,100
08021,100
08023,100
08025,100
08027,100
08029,63.2
08031,0
08033,100
08035,10.3
08037,20
08039,100
08041,8.9
08043,26.4
08045,24.1
08047,100
08049,82.6
08051,58.6
08053,100
08055,56.1
08057,100
08059,6.9
08061,100
08063,48.7
08065,31.1
08067,59.9
08069,11.7
08071,40.8
08073,100
08075,29.2
08077,12.7
08079,100
08081,27.4
08083,67.2
08085,45
08087,32.5
08089,34.4
08091,100
08093,100
08095,100
08097,44.2
08099,37.9
08101,14.2
08103,100
08105,62.5
08107,45.2
08109,100
08111,100
08113,100
08115,100
08117,19.5
08119,62.6
08121,100
08123,20.5
08125,64.9
09001,4.6
09003,5.4
09005,41.4
09007,24.5
09009,3.6
09011,25.8
09013,38.2
09015,49.8
10001,27
10003,4.6
10005,41.3
11001,0
12001,21.2
12003,59.5
12005,12
12007,75.5
12009,5.1
12011,0
12013,67.5
12015,8.9
12017,34.5
12019,15
12021,8.5
12023,62.1
12027,46.2
12029,77
12031,2.9
12033,8.3
12035,10.3
12037,68
12039,65.4
12041,83.9
12043,70.6
12045,77.1
12047,63.5
12049,47.8
12051,37.9
12053,19.4
12055,21.1
12057,3.5
12059,78.8
12061,5
12063,75.4
12065,100
12067,100
12069,19.3
12071,5.8
12073,12.3
12075,92
12077,100
12079,80
12081,5.8
12083,31
12085,8.5
12086,0.4
12087,8.7
12089,48.1
12091,12.1
12093,36.5
12095,2
12097,7.8
12099,1
12101,9.5
12103,0.3
12105,13.5
12107,56.2
12109,23.8
12111,3.4
12113,21
12115,4.3
12117,3.2
12119,35
12121,83.2
12123,69.3
12125,67.4
12127,9.9
12129,61.7
12131,63.1
12133,84.6
13001,71.4
13003,100
13005,69.3
13007,100
13009,35.1
13011,93.8
13013,30.1
13015,35.2
13017,34
13019,76.1
13021,14.4
13023,51.6
13025,99.4
13027,71
13029,52.3
13031,48.3
13033,75
13035,77.9
13037,100
13039,31.4
13043,67
13045,41.8
13047,28.1
13049,51
13051,4.5
13053,29.5
13055,57.6
13057,17.1
13059,5.9
13061,100
13063,0.9
13065,60.4
13067,0.2
13069,66.6
13071,58.9
13073,16.2
13075,59.4
13077,32.9
13079,100
13081,47
13083,72.1
13085,80.3
13087,56.5
13089,0.3
13091,72.2
13093,53.7
13095,14
13097,15.8
13099,66
13101,100
13103,67.1
13105,70.6
13107,66.9
13109,61.3
13111,100
13113,18.2
13115,36.8
13117,9.9
13119,88.9
13121,1.1
13123,87.6
13125,100
13127,20.6
13129,51.6
13131,62.4
13133,82.7
13135,0.5
13137,58.8
13139,20.6
13141,61.6
13143,77.4
13145,96.7
13147,74.5
13149,100
13151,13.9
13153,10
13155,64.7
13157,60
13159,81.8
13161,69.5
13163,80.7
13165,66.1
13167,65.4
13169,67.7
13171,60.9
13173,71.1
13175,56.6
13177,36.2
13179,23.2
13181,100
13183,81.3
13185,27.2
13187,83.9
13189,61
13191,74.3
13193,53.2
13195,91.9
13197,100
13199,83.3
13201,100
13205,54.5
13207,80.2
13209,98.7
13211,75.4
13213,70.1
13215,3
13217,31.2
13219,50.3
13221,99.3
13223,20.1
13225,38.2
13227,73.1
13229,79.4
13231,99
13233,51.4
13235,66.7
13237,80.9
13239,73.1
13241,79.3
13243,50.6
13245,9.2
13247,14.9
13249,100
13251,78.9
13253,68.6
13255,41.6
13257,58.6
13259,100
13261,41.8
13263,93.9
13265,100
13267,68.2
13269,100
13271,47
13273,51
13275,46
13277,40.8
13279,51.1
13281,100
13283,58.9
13285,44.3
13287,49.7
13289,100
13291,100
13293,46.9
13295,43.9
13297,42.7
13299,29.4
13301,100
13303,65.6
13305,57.9
13307,100
13309,100
13311,83.8
13313,29.1
13315,100
13317,67.4
13319,100
13321,69.2
15001,38
15003,0.9
15005,100
15007,12.9
15009,14.6
16001,5.5
16003,100
16005,15.7
16007,100
16009,71.9
16011,56
